name,handedness,height,weight,avg,HR
Vida Blue,Both Handed,72,189,0.104,4
Mickey Lolich,Both Handed,73,170,0.11,0
Bob Veale,Both Handed,78,212,0.114,0
Fred Norman,Both Handed,68,155,0.125,0
Joaquin Andujar,Both Handed,72,170,0.127,5
Fritz Peterson,Both Handed,72,185,0.159,2
Buddy Biancalana,Both Handed,71,160,0.205,6
Steve Huntz,Both Handed,73,204,0.206,16
Steve Jeltz,Both Handed,71,180,0.21,5
Rusty Torres,Both Handed,70,175,0.212,35
Joe Lovitto,Both Handed,72,185,0.216,4
Vic Harris,Both Handed,71,165,0.217,13
Darrel Chaney,Both Handed,74,188,0.217,14
Al Weis,Both Handed,72,160,0.219,7
Chris Bando,Both Handed,72,195,0.227,27
Larry Lintz,Both Handed,69,150,0.227,0
Tim Blackwell,Both Handed,71,170,0.228,6
Dave McKay,Both Handed,73,195,0.229,21
Bob Didier,Both Handed,72,190,0.229,0
Gene Michael,Both Handed,74,183,0.229,15
Billy Smith,Both Handed,74,185,0.23,17
Ted Kubiak,Both Handed,72,175,0.231,13
Roger Metzger,Both Handed,72,165,0.231,5
Buck Rodgers,Both Handed,74,190,0.232,31
Paul Popovich,Both Handed,72,175,0.233,14
Rick Sweet,Both Handed,73,200,0.234,6
Bill Sudakis,Both Handed,73,190,0.234,59
Paul Householder,Both Handed,72,180,0.236,29
Bud Harrelson,Both Handed,71,160,0.236,7
Rodney Scott,Both Handed,72,160,0.236,3
Bob Meacham,Both Handed,73,175,0.236,8
Jimmy Stewart,Both Handed,72,165,0.237,8
Rafael Landestoy,Both Handed,70,165,0.237,4
Julio Cruz,Both Handed,69,165,0.237,23
Ron Roenicke,Both Handed,72,180,0.238,17
Mike Ramsey,Both Handed,73,170,0.24,2
Chico Ruiz,Both Handed,72,169,0.24,2
Wayne Tolleson,Both Handed,69,160,0.241,9
Manny Castillo,Both Handed,69,160,0.242,3
Marty Martinez,Both Handed,72,170,0.243,0
Joe Wallis,Both Handed,71,180,0.244,16
Bobby Brown,Both Handed,74,190,0.245,26
Sandy Alomar,Both Handed,69,140,0.245,13
Tom Tresh,Both Handed,73,180,0.245,153
George Wright,Both Handed,71,180,0.245,42
Bryan Little,Both Handed,70,160,0.245,3
Alan Ashby,Both Handed,74,185,0.245,90
Mike Young,Both Handed,74,195,0.247,72
Tony Scott,Both Handed,72,164,0.249,17
Derrel Thomas,Both Handed,72,160,0.249,43
Bob Stinson,Both Handed,71,180,0.25,33
Wilbur Howard,Both Handed,74,170,0.25,6
Jim Lefebvre,Both Handed,72,180,0.251,74
U L Washington,Both Handed,71,175,0.251,27
Albert Hall,Both Handed,71,155,0.251,5
Don Kessinger,Both Handed,73,170,0.252,14
Jerry White,Both Handed,70,164,0.253,21
Larry Milbourne,Both Handed,72,161,0.254,11
Wallace Johnson,Both Handed,72,173,0.255,5
Butch Wynegar,Both Handed,73,190,0.255,65
Horace Clarke,Both Handed,69,170,0.256,27
Ken Henderson,Both Handed,74,180,0.257,122
Roy Smalley,Both Handed,73,185,0.257,163
Biff Pocoroba,Both Handed,70,175,0.257,21
Len Randle,Both Handed,70,169,0.257,27
Jerry Hairston,Both Handed,70,170,0.258,30
Alan Wiggins,Both Handed,74,160,0.259,5
Lee Mazzilli,Both Handed,73,180,0.259,93
Larry Bowa,Both Handed,70,155,0.26,15
Billy North,Both Handed,71,185,0.261,20
Richie Scheinblum,Both Handed,73,180,0.263,13
Don Buford,Both Handed,67,160,0.264,93
Miguel Dilone,Both Handed,72,160,0.265,6
Ron Oester,Both Handed,74,185,0.265,42
Bump Wills,Both Handed,69,172,0.266,36
R.J. Reynolds,Both Handed,72,190,0.267,35
Wes Parker,Both Handed,73,180,0.267,64
